relation,topic,count,total,prop,count_global
Went Broody On One Occasion,0,1,1,1.0,1.0
Went Broody On One Occasion And .per Cent Went Broody Twice,0,1,1,1.0,1.0
Went Down Every Year,0,1,1,1.0,1.0
Went Into The Ramsay Hospital At Naini Tal,0,1,1,1.0,1.0
Went Mad,0,1,1,1.0,1.0
Went Off Feed From,0,1,1,1.0,1.0
Went On,0,2,2,1.0,2.0
Went On Detachment Duty To,0,2,2,1.0,2.0
Went On Furlough,0,1,1,1.0,1.0
Went On Leave In The Early Part Of April,0,1,1,1.0,1.0
Went On Unaltered For,0,1,1,1.0,1.0
Went Through A Course Of Equitation,0,1,1,1.0,1.0
Went Through The Course Of,0,3,3,1.0,4.0
Went To Help In Nursing At,0,1,1,1.0,1.0
Went Up To,0,2,2,1.0,2.0
Were A Number Of Anchylostomes In,0,1,1,1.0,1.0
Were Able To Travel Across,24,1,1,1.0,1.0
Were Abundant,0,1,1,1.0,1.0
Were Abundant In,0,1,1,1.0,1.0
Were Accidental,0,1,1,1.0,1.0
Were Accompanied By,0,1,1,1.0,1.0
Were Accurately Made,0,1,1,1.0,1.0
Were Acted Upon Immediately,0,1,1,1.0,1.0
Were Actually Attended By Them,0,1,1,1.0,1.0
Were Added To Each Jar Giving A Strength Of In To The,0,1,1,1.0,1.0
Were Adjusted In The Accounts For The Year,0,1,1,1.0,1.0
Were Administered During The Day,0,1,1,1.0,1.0
Were Admitted During The Year,0,5,6,0.833333,12.0
Were Admitted In The Last Stages Of Disease And Exhaustion,0,1,1,1.0,1.0
Were Admitted Including Re-admissions,0,1,1,1.0,1.0
Were Admitted To The Various Mental Hospitals For Observation,0,1,1,1.0,1.0
Were Adopted By,0,1,1,1.0,1.0
Were Adulterated In,14,1,1,1.0,1.0
Were Adults,0,1,1,1.0,1.0
Were Adversely Affected By,50,1,1,1.0,1.0
Were Advised Regarding,0,1,1,1.0,1.0
Were Affected And Died Or Were Destroyed,0,1,1,1.0,1.0
Were Afraid Of Employing Them On Account Of The Prevalence Of,0,1,1,1.0,1.0
Were Again Placed On The Gauhatishillong Tonga Line,0,1,1,1.0,1.0
Were Allowed To Attend Pwe S And Pagodas In Day Time On,0,1,1,1.0,1.0
Were Allowed To Re-occupy,1,1,1,1.0,1.0
"Were Allowed To Visit The Pagodas, Bioscopes, Relatives And Friends Under Suitable",0,1,1,1.0,
Were Almost Equal But Greater Than Both Sindhi And Murrah,0,1,1,1.0,1.0
Were Almost Invariably Characterised By Conspicuous Evolution Of Large Gaseous Bubbles In,0,1,1,1.0,
Were Also Inspected By Them,0,1,1,1.0,1.0
Were Also Met With In,0,1,1,1.0,1.0
Were Altered And Converted Into Dairy Buildings During The Year,0,1,1,1.0,1.0
Were Amongst The Old And Infirm Cases Transferred From Other Hospitals And,12,1,1,1.0,1.0
Were An Efficient Instrument For Detecting,0,1,1,1.0,1.0
Were Analysed,0,1,1,1.0,1.0
Were And Respectively,0,1,1,1.0,1.0
Were Appointed,0,1,1,1.0,1.0
Were Appointed Conservancy Inspectors,0,1,1,1.0,1.0
Were Appointed During The Year Making The Total Number Employed At The,0,1,1,1.0,1.0
Were Appointed To Supervise Vaccination,0,1,1,1.0,1.0
"Were Appointed, Two In",0,1,1,1.0,1.0
Were Arrested,0,1,1,1.0,1.0
Were Arrested And Ordered To Appear At The Lock Hospital For Examination,0,1,1,1.0,1.0
Were As Abundant As Ever,0,1,1,1.0,1.0
Were As Effective As,0,1,1,1.0,1.0
Were As High As In Autumn,0,1,1,1.0,1.0
Were Ascribable To The Use Of,0,1,1,1.0,1.0
Were Ascribed To,0,2,2,1.0,4.0
Were Asked Per Head By Parties Willing To Board,0,1,1,1.0,1.0
Were Attacked And All Died In,0,1,1,1.0,1.0
Were Attacked And Died This Year Against,0,1,1,1.0,1.0
Were Attacked From All Causes,0,1,1,1.0,1.0
Were Attacked In All Stages Of Development,0,1,1,1.0,1.0
Were Attacked Until The Evening Of,0,1,1,1.0,1.0
Were Attacked With Vomiting And Purging,0,1,1,1.0,1.0
Were Attended To Before The Close Of The Year,0,1,1,1.0,1.0
Were Attended With Better Results Than Those In Which The Pure Human,0,1,1,1.0,1.0
Were Available At This Show,17,1,1,1.0,1.0
Were Averse To,0,1,1,1.0,1.0
Were Awarded Stipends From,0,2,2,1.0,2.0
Were Bacteriologically Examined On Behalf Of The New Zealand Government,0,1,1,1.0,1.0
Were Badly Developed,18,1,1,1.0,1.0
Were Bard To Beat,0,1,1,1.0,1.0
Were Begun On Th July,0,1,1,1.0,1.0
Were Being Energetically Enforced,0,1,1,1.0,1.0
Were Being Washed Down Into The Area Along The Irrigation Canals From,0,2,2,1.0,2.0
Were Between,0,3,3,1.0,3.0
Were Between And,0,1,1,1.0,1.0
Were Biologically And Bacteriologically Examined,0,1,1,1.0,1.0
Were Biologically And Bacteriologically Examined Prior To The Granting Of Certificates Of,0,1,1,1.0,
Were Bitten On The Same Date,0,1,1,1.0,1.0
Were Black Soft Masses Of A Liquorice-like Odour And Sweet Taste,0,1,1,1.0,1.0
Were Blasting,0,1,1,1.0,1.0
Were Born In Shikarpoor During The Last Year,0,1,1,1.0,1.0
Were Both Stone Cases,0,1,1,1.0,1.0
Were Brought In For My Inspection And I Found Them In Good,0,1,1,1.0,1.0
Were Brought Into The Herd,0,1,1,1.0,1.0
Were Brought To The Notice Of The Staff,0,1,1,1.0,1.0
Were Buried,0,1,1,1.0,1.0
Were By No Means Uncommon,0,1,1,1.0,1.0
"Were Called Together At Dacca, Chittagong, Berhampore And Midnapore",0,1,1,1.0,1.0
Were Carefully Carried Out,0,1,1,1.0,1.0
Were Carried On,0,1,1,1.0,1.0
Were Carried On In,0,7,7,1.0,8.0
Were Carried Out Against The Disease In Villages This Year As Against,0,1,1,1.0,1.0
Were Carried Out At Night With Sawdust As Bedding,0,1,1,1.0,1.0
Were Carried Out By Public Works Department Authorities,0,1,1,1.0,1.0
"Were Carried Out During The Period June, To September",0,1,1,1.0,1.0
Were Cases Of Mahamari Modified By The Diluted Nature Of The Infection,17,1,1,1.0,1.0
Were Cast,0,3,3,1.0,3.0
"Were Castrated, And Of These Were Supplied To Various Government Farms",0,1,1,1.0,1.0
Were Causes Of Admissions And Deaths Against,0,1,1,1.0,1.0
"Were Challenged Each Time From The First And Second Vaccinated Groups, At",0,1,1,1.0,1.0
Were Checked By,0,1,1,1.0,1.0
Were Checked In,0,1,1,1.0,1.0
Were Chiefly Of Digestive System,0,1,1,1.0,1.0
Were Circular Or Oval In Shape Occupying Nearly The Whole Of The,0,1,1,1.0,1.0
Were Classified And Treated,0,6,6,1.0,6.0
Were Clinieally Positive,0,1,1,1.0,1.0
Were Closed By The District Board Concerned On Account Of Paucity Of,0,1,1,1.0,2.0
Were Collected And Preserved,0,1,1,1.0,1.0
Were Collected And Sent To The Museum Duly Mounted,0,1,1,1.0,1.0
Were Collected At Convenient Centres,0,1,1,1.0,1.0
Were Completed About The Th February,0,1,1,1.0,1.0
Were Compromised,0,1,1,1.0,1.0
Were Condemned As Unfit For Human Consumption,0,1,1,1.0,1.0
Were Conducted By A Board Of Examiners Duly Constituted By Government,0,1,1,1.0,1.0
Were Conducted From Nd To St March,0,1,1,1.0,
"Were Considerably More Numerous, Or",0,1,1,1.0,1.0
Were Considered Sufficiently Encouraging To Warrant Further Trials With,0,1,1,1.0,1.0
Were Consolidated And Amended,3,1,1,1.0,1.0
Were Constructed As Quickly As Possible,0,1,1,1.0,1.0
Were Contained Were Immature Red Cells And That Therefore The Parasites Were,0,1,1,1.0,1.0
Were Contracted At,0,1,1,1.0,1.0
Were Contrasted In The Annexed Table,0,1,1,1.0,1.0
Were Convicted By The Civil Authorities For Practising Their Trade Without A,0,1,1,1.0,1.0
Were Coppiced,0,2,2,1.0,2.0
Were Coppiced And Yielded,0,1,1,1.0,1.0
Were Correct,8,1,1,1.0,1.0
Were Crimes,0,4,4,1.0,4.0
Were Crossed With Medium-sized Pure Malvi Bulls For Two Generations,0,1,1,1.0,1.0
Were Dealt With,0,2,2,1.0,2.0
Were Dealt With At,0,1,1,1.0,1.0
Were Deaths From This Disease In The Bills At Ukhrul And Tadabi,0,1,1,1.0,1.0
Were Declared By The People Of Old Sukkur To Be Imported Cases,0,1,1,1.0,1.0
Were Declared Strongly Suspicious For,13,1,1,1.0,1.0
Were Delivered By The Members Of The Staff On,0,1,1,1.0,1.0
Were Detailed In An Earlier One,0,1,1,1.0,1.0
Were Detained And Examined For,0,1,1,1.0,1.0
Were Detained And Segregated,0,1,1,1.0,1.0
Were Detained And Treated There Until Cured,0,1,1,1.0,1.0
Were Detained As Incapable Of Making A Defence,3,1,1,1.0,1.0
Were Detected And Treated Successfully,0,1,1,1.0,1.0
Were Detected In,0,4,4,1.0,7.0
"Were Detected In The Districts Of Muttra, Agra, Shahjahanpur And Basti Which",0,1,1,1.0,1.0
Were Detected In The Sputum Of,0,1,1,1.0,1.0
Were Digested Almost At The Same Rate As,11,1,1,1.0,1.0
Were Directed Into,21,1,1,1.0,1.0
Were Discharged During The Year And The Vacancies Were Filled Up By,0,1,1,1.0,1.0
Were Discharged Well To Duty,0,1,1,1.0,1.0
Were Disinfected And Were Vacated,0,1,1,1.0,1.0
"Were Displayed At The District Exhibitions Saharanpur, Aligarh And Etawah And At",0,1,1,1.0,1.0
Were Dissected,0,1,1,1.0,1.0
Were Done By Myself At My Inspection Visits,0,1,1,1.0,1.0
Were Done In Simla,0,1,1,1.0,2.0
Were Done Under Our Personal Supervision And Subsequent Inspection,0,1,1,1.0,1.0
Were Due To,0,41,42,0.97619,60.0
"Were Due, Respectively, To",0,1,1,1.0,1.0
Were Duly Sanctioned,0,1,1,1.0,1.0
Were Dying At The Rate Of Twenty Or Thirty A Day,12,1,1,1.0,1.0
Were Easily Distinguished By,0,1,1,1.0,1.0
Were Easily Freed,0,1,1,1.0,1.0
Were Eaten On An Average Only Ozs,0,2,2,1.0,2.0
Were Eaten Very Readily,0,1,1,1.0,1.0
Were Effected To,0,1,1,1.0,1.0
Were Either Moderate Or Strong Wassermann Positive,0,2,2,1.0,2.0
Were Either Spheroidal Or Oval In Outline With A Well Defined Capsule,0,1,1,1.0,1.0
Were Either Stationary Or Stationary And Itinerant,0,1,1,1.0,1.0
Were Employed During The Year Including Two Reserve Assistants And One Under,0,1,1,1.0,1.0
Were Employed On Manufactures,3,2,2,1.0,2.0
Were Employed On Manufactures Or Labor,3,1,1,1.0,1.0
Were Emulsified In Saline And A Dose Of C. C. Was Fed,0,1,1,1.0,1.0
Were Encircled By,0,1,1,1.0,1.0
Were Enlarged And Infiltrated,0,1,1,1.0,1.0
Were Entered Into Herd During The Year Under Report,0,1,1,1.0,2.0
Were Entertained,0,2,2,1.0,3.0
Were Entrusted With The Duty Of Verifying Addresses At Which,0,1,1,1.0,1.0
Were Established,43,1,1,1.0,1.0
Were Established At Sixteen Stations In,0,1,1,1.0,1.0
Were Established At Two Stations In,0,1,1,1.0,1.0
Were Evenly Distributed Throughout The Substance Of Organs Affected,0,1,1,1.0,1.0
Were Examined By The Chief Inspector,0,1,1,1.0,1.0
Were Examined Chemically And Bacteriologically,0,1,1,1.0,1.0
Were Examined In Drill And Other Physical Exercises,0,2,2,1.0,2.0
Were Examined Twice Daily,0,1,1,1.0,1.0
Were Exhibited,0,2,2,1.0,2.0
Were Exhibited Of Which,0,2,2,1.0,2.0
Were Experimentally Reproduced For Demonstration To The Students,0,1,1,1.0,1.0
Were Extremely Abundant,0,1,1,1.0,1.0
Were Favourably Disposed Towards,0,1,1,1.0,1.0
Were Feeble-minded And Per Cent Of The Prison Population Of England Were,9,1,1,1.0,1.0
Were Fewer Cases,0,1,1,1.0,1.0
Were Fined Annas Each For Irregular Work In The Fa Zilka Tahsi,0,1,1,1.0,1.0
Were Fined For Neglecting To See The Rules Carried Out,0,1,1,1.0,1.0
Were Fixed In,0,1,1,1.0,1.0
Were For,0,5,5,1.0,6.0
Were For Ordinary Market,0,1,1,1.0,1.0
Were Found After Puncturing,0,1,1,1.0,1.0
Were Found Among The Total Number Treated At,0,1,1,1.0,1.0
Were Found Before,0,1,1,1.0,1.0
Were Found Centrally Placed And They Were Found Enclosed By A Chitinous,0,1,1,1.0,1.0
Were Found Dead,0,1,1,1.0,1.0
Were Found Dying In November And December And Attacks Were Numerous In,0,1,1,1.0,1.0
Were Found Hidden Under,12,1,1,1.0,1.0
Were Found In Any One Locality,0,1,1,1.0,1.0
Were Found In Both The Cases,0,1,1,1.0,1.0
Were Found In One Room,0,1,1,1.0,1.0
Were Found In Servants Quarters And Kitchen,0,1,1,1.0,1.0
"Were Found In The Case Of Horses, Ponies, And Mules",0,1,1,1.0,1.0
Were Found In The Inflamed Gland By Rubbing A Cover Slip On,0,1,1,1.0,1.0
"Were Found In Thirty Samples But In Only Six Of These, Or",0,1,1,1.0,1.0
Were Found On The Surface Of,0,3,3,1.0,3.0
Were Found Quite Efficient In Removing,0,2,2,1.0,2.0
Were Found Situated Inside Cells In Smears Prepared From The Pus,0,1,1,1.0,1.0
Were Found To Be Diseased And Detained In Hospital For Treatment,0,1,1,1.0,1.0
Were Found To Have Been Deliberately Concocted,0,1,1,1.0,1.0
Were Free From Contagious Maladies Throughout The Year,0,1,1,1.0,1.0
Were Frequently Observed To Originate From,0,1,1,1.0,1.0
Were Full And Overflowing,0,1,1,1.0,1.0
Were Full And Overflowing When,0,1,1,1.0,1.0
Were Full On Both Occasions,0,1,1,1.0,1.0
Were Functioning Properly And The Supply Was In Good Order During The,0,1,1,1.0,1.0
Were General,0,1,1,1.0,1.0
Were Getting,0,1,1,1.0,1.0
Were Given An Infective Dose Of Virulent Brucella Culture Consisting Of Million,0,1,1,1.0,1.0
Were Given As Usual To The Senior Students,0,2,2,1.0,2.0
Were Given At The Institute To Officers Of The Public Health Department,0,4,4,1.0,4.0
Were Given During The Year And Were Much Appreciated By,0,1,1,1.0,1.0
Were Given Hypodermically In The Hind Leg,0,1,1,1.0,1.0
Were Given Instructions Whenever Asked For,0,1,1,1.0,1.0
Were Given One Of .grammes And The Other Of .grammes,0,2,2,1.0,
Were Good In Size,0,1,1,1.0,1.0
Were Granted By,0,2,2,1.0,2.0
Were Granted Local Parole With Or Without Attendants And Batches Of Patients,0,1,1,1.0,1.0
"Were Granted Stipends By Local Bodies, Two By Government And One Went",0,1,1,1.0,1.0
Were Granules Of Greenish Pigment Resembling That Seen In These Cells In,0,1,1,1.0,1.0
Were Greatly Damaged And In Many Places Spoiled Altogether,0,1,1,1.0,1.0
Were Greatly Missed By The Men,6,3,3,1.0,3.0
Were Grown In The College Compound,0,1,1,1.0,1.0
Were Habitual,0,1,1,1.0,1.0
Were Held From The Th To Th March Both Days Inclusive,0,1,1,1.0,1.0
Were Hidden In,0,1,1,1.0,1.0
Were Higher In The Cooler Than In The Room,0,1,1,1.0,1.0
Were Highest In Karnal Ambala Rawalpindi Muzaffargarh Mianwali,0,1,1,1.0,1.0
Were Highly Effective But Slow To Act,0,1,1,1.0,1.0
Were Histologically Similar To,0,1,1,1.0,1.0
Were Identical With Those Found In Fatal Cases Of Infection,0,1,1,1.0,1.0
Were Illustrated By Lantern Slides,0,1,1,1.0,1.0
Were Immediately Advised To Undergo,0,1,1,1.0,1.0
Were Immunised,0,1,1,1.0,1.0
Were Immunized,0,1,1,1.0,1.0
Were Immunized Against,0,3,3,1.0,5.0
Were Immunized In,0,2,2,1.0,2.0
Were In,0,17,18,0.944444,20.0
Were In A Pingah (a Kind Of Swinging Cradle,0,1,1,1.0,1.0
Were In A State Of,8,1,1,1.0,1.0
"Were In Cakes Of The Same Colour And Odour, And Was Nearly",0,1,1,1.0,1.0
Were In Evidence In,0,1,1,1.0,1.0
Were In Faultless Condition,0,1,1,1.0,1.0
Were In Force During The Latter Half Of The Decade,0,1,1,1.0,1.0
Were In Good Condition,0,3,3,1.0,4.0
Were In Good Order,0,1,1,1.0,1.0
"Were In Good Order, With The Exception Of",0,1,1,1.0,1.0
Were In Great Demand,0,1,1,1.0,1.0
Were In Great Profusion,0,1,1,1.0,1.0
Were In Green Cloth Tunic And Serge Knickerbockers,12,1,1,1.0,1.0
Were In Number As,0,1,1,1.0,1.0
Were In The Case Of,0,1,1,1.0,1.0
Were Included In Item,0,1,1,1.0,1.0
Were Included In These Lists,0,2,2,1.0,2.0
Were Increased From,0,1,1,1.0,1.0
Were Induced By The Officer Commanding And By Myself To Lay Out,0,1,1,1.0,1.0
Were Informed That Arrangements Had Been Made At The Civil Hospital For,0,1,1,1.0,1.0
Were Injected Into The Peritoneal Cavity Of This Monkey,0,1,1,1.0,1.0
Were Inoculated Against,0,11,11,1.0,12.0
Were Inoculated As Against,0,3,3,1.0,4.0
Were Inoculated In The Lower Chindwin,0,1,1,1.0,1.0
Were Inoculated On The Spot At The Subdivisional Office,0,1,1,1.0,1.0
Were Inoculated With Saline Emulsions Of The Iliac And Supra Mammary Lymphatic,0,1,1,1.0,1.0
Were Inoculated With This Vaccine In Outbreak Areas,0,1,1,1.0,1.0
Were Inspected,0,27,28,0.964286,32.0
Were Inspected By,0,5,6,0.833333,10.0
Were Inspected By The Staff Concerned,0,1,1,1.0,1.0
Were Inspected Daily By,0,1,1,1.0,1.0
Were Inspected For,0,1,1,1.0,1.0
Were Inspected For Vaccination,0,2,2,1.0,2.0
Were Inspected Once By The Deputy Superintendent,0,1,1,1.0,1.0
Were Inspected Twice,0,1,1,1.0,1.0
Were Instructed In The Methods Of Conducting,0,1,1,1.0,2.0
Were Invalided,0,1,1,1.0,2.0
Were Inversely Related To The Changes In,0,2,2,1.0,2.0
Were Investigated Bacterio-logically,0,1,1,1.0,1.0
Were Issued To,0,3,3,1.0,8.0
Were Issued To The Police,0,1,1,1.0,1.0
Were Just At The Point Of Bifurcation Of,0,1,1,1.0,1.0
"Were Kept In A Portion Of The Main Ward, Partitioned Off From",4,1,1,1.0,1.0
Were Kept In The Same Shed As The Healthy Or In Sheds,0,1,1,1.0,1.0
Were Kept Under Observation,0,1,1,1.0,2.0
Were Kept Under Observation And Their Brains Either After Destruction Or Their,0,1,1,1.0,1.0
Were Kept Under Observation At,0,1,1,1.0,1.0
Were Kept Up To A Standard Throughout The Year And Were Played,0,1,1,1.0,1.0
Were Landed At The Port Of Karachi During The Year As Compared,32,1,1,1.0,1.0
Were Largely Resorted To By,4,1,1,1.0,1.0
Were Leaden Coloured And Showed Inflammation In Patches,0,1,1,1.0,1.0
Were Left In Charge Of The Medical Officer With Detachment,0,1,1,1.0,1.0
Were Left Over In To,0,1,1,1.0,1.0
Were Less Frequent And Milder,0,1,1,1.0,1.0
Were Less Than Per Cent. Of A Normal Crop,0,1,1,1.0,1.0
Were Local Disease,0,2,2,1.0,2.0
"Were Long, Slender, Twisted Or Curved",0,1,1,1.0,1.0
Were Looked Into And Necessary Measures Have Been Taken To Bring It,0,1,1,1.0,1.0
Were Made,0,1,1,1.0,8.0
Were Made And Fat Estimations,0,1,1,1.0,1.0
Were Made At Night Under The Artificial Light Instead Of During The,0,1,1,1.0,1.0
Were Made By,0,3,3,1.0,3.0
Were Made By Double Intradernal Method,0,2,2,1.0,2.0
Were Made For,0,1,1,1.0,1.0
"Were Made In A Station In Assam, Where The Patient Was Living",0,1,1,1.0,1.0
Were Made In Respect Of Anæmic Patients,0,1,1,1.0,1.0
Were Made Of,5,1,1,1.0,1.0
Were Made On,0,1,1,1.0,1.0
Were Made Over By,0,1,1,1.0,1.0
Were Made Over To,0,1,1,1.0,1.0
Were Made Up Of,0,1,1,1.0,1.0
Were Mainly Received From The Port Health Department,0,1,1,1.0,1.0
Were Maintained In Isolated Chappars,0,1,1,1.0,1.0
"Were Malarious Fevers Cases, Rheumatism Eye And Lung Diseases And Respectively, And",0,1,1,1.0,
Were Manufactured And Supplied To The Field Staff,0,2,2,1.0,2.0
Were Marched To,0,1,1,1.0,1.0
Were Married And Had Thirty-three Children,22,1,1,1.0,1.0
Were Mat Enclosures,0,1,1,1.0,1.0
Were Medically Examined Immediately After Arrival,0,1,1,1.0,1.0
Were Met With,0,3,3,1.0,6.0
Were Minimum,0,1,1,1.0,1.0
Were Mistaken For,0,1,1,1.0,1.0
Were More Common In The Nagpur Asylum,0,1,1,1.0,1.0
Were More Numerous At Nagpur,0,1,1,1.0,1.0
Were More Numerous Than Usual,0,1,1,1.0,1.0
Were More Prominent In Some Samples During Summer,7,1,1,1.0,1.0
Were More Severe Than Usual,6,1,1,1.0,1.0
Were More Than Usually Common,0,1,1,1.0,1.0
Were More Widespread,0,1,1,1.0,1.0
Were Moribunds On Admission,0,1,1,1.0,1.0
Were Most Abundant In,0,1,1,1.0,5.0
Were Most Prevalent At Mercara,0,1,1,1.0,1.0
Were Moved Into,0,1,1,1.0,1.0
Were Much Opposed To,0,1,1,1.0,1.0
Were Narrow And Deep,0,1,1,1.0,1.0
Were Nearly The Size Of,0,1,1,1.0,1.0
Were Never Met With In Any Of The Parel Patients,0,1,1,1.0,1.0
Were Nineteen,0,2,2,1.0,3.0
Were No Cases Of,0,1,1,1.0,3.0
Were Not Absent In A Single Case Observed In This District,0,1,1,1.0,1.0
Were Not Allowed To Be Vaccinated By Their Parents,0,1,1,1.0,1.0
Were Not Numerous,0,2,2,1.0,2.0
Were Not Parasitic But Were Simply Saprophytes,3,1,1,1.0,1.0
Were Not Presented By Their Parents Punctually On The 8th Day,0,1,1,1.0,1.0
Were Not Punished For Not Having Their Children Vaccinated,0,1,1,1.0,1.0
Were Not Requisitioned By The Police As Often As In The Previous,0,1,1,1.0,1.0
Were Not So Satisfactory As In The Preceding Year,0,1,1,1.0,1.0
Were Not Up To The Average Of Other Shows,0,1,1,1.0,1.0
Were Not Vaccinated,0,1,1,1.0,1.0
Were Not Visited More Than Twice,4,2,2,1.0,2.0
Were Observed In The Interior Of,0,1,1,1.0,1.0
Were Obtained By,0,1,1,1.0,1.0
Were Obtained By The Local Bodies,0,1,1,1.0,1.0
Were Obtained From,0,7,7,1.0,11.0
Were Obtained From All The Organs And Fluids In The Body,0,1,1,1.0,1.0
Were Obtained In The Presidency,0,1,1,1.0,1.0
Were Obtained When Given As For Group D,8,1,1,1.0,1.0
Were Obtained With Grms,0,2,2,1.0,2.0
Were Obtained With The Aid Of A Thermoplastic Film According To The,5,1,1,1.0,1.0
"Were Ochreous, Roughly Granular In Texture And Of Very Dense Consistence",42,2,2,1.0,2.0
"Were Of Exceptional Excellence, Showing Size, Bone, Power, And Breeding",0,1,1,1.0,1.0
Were Of Good Quality,0,1,2,0.5,2.0
"Were Of Relatively Small Size And Circular Outline, Of A Bluish Tint",0,1,1,1.0,1.0
Were Of Some Avail,0,1,1,1.0,1.0
Were On,0,1,1,1.0,4.0
Were On Account Of,0,1,1,1.0,1.0
Were Only Admitted To These Emergency Beds,0,1,1,1.0,1.0
Were Opened During The Year,4,7,11,0.636364,11.0
Were Opened During The Year At,0,1,1,1.0,1.0
Were Opened On March Th,0,2,2,1.0,2.0
Were Opened On Th August,19,1,1,1.0,1.0
Were Opened On Th June,19,1,1,1.0,1.0
Were Opposed To The Chemical Treatment Of Their Personal Effects But Did,0,1,1,1.0,1.0
Were Ordered To See That This Work Was Thoroughly And Quickly Carried,0,1,1,1.0,1.0
Were Out Of,0,1,1,1.0,1.0
Were Out Of Actually Performed,0,1,1,1.0,1.0
Were Out On,0,1,1,1.0,1.0
Were Over,0,2,2,1.0,2.0
Were Overtaken By,0,1,1,1.0,1.0
Were Pale And Soddenlike,0,1,1,1.0,1.0
Were Particularly Objected To By,10,1,1,1.0,1.0
Were Passed Through The Office,0,1,1,1.0,1.0
Were Per Men Lower And The Death Rate Lower Than In,0,1,1,1.0,1.0
Were Performed By Private Practitioners In The Shan States,0,1,1,1.0,1.0
Were Performed By The Hospital Assistant,0,1,1,1.0,1.0
"Were Performed In The Districts Of Dehra Dun, Agra, Lucknow And Gorakhpur",0,1,1,1.0,1.0
Were Periodically Entertained With,3,1,1,1.0,1.0
Were Periodically Examined At The Institute,0,1,1,1.0,1.0
"Were Periodically Examined, And If Diseased, Detained For Treatment",0,1,1,1.0,1.0
Were Permitted To Re-occupy,1,1,1,1.0,1.0
Were Placed In The Cage On,0,1,1,1.0,1.0
Were Placed In The Different Factories On The Estate During The Year,0,1,1,1.0,1.0
Were Plentiful Enough,0,1,1,1.0,1.0
Were Plenty And Sufficient To Meet The Seasonal Needs Of The Patients,12,1,1,1.0,1.0
Were Practically No Differences In The Growth Promoting Values Of Different Fats,0,1,1,1.0,1.0
Were Prepared And Despatched From The Laboratory For Treatment Of Piroplasmosis In,0,1,1,1.0,
Were Prepared And Supplied Along With Models,0,1,1,1.0,1.0
Were Prepared To Maintain Or To Make Over To Private Persons For,0,1,1,1.0,1.0
Were Preserved And Mounted,0,1,1,1.0,1.0
Were Pretty Well Confined To The Kyaukpyu Township,0,1,1,1.0,1.0
Were Primarily Due To Pasteurella Organisms,0,1,1,1.0,1.0
Were Primarily Vaccinated Against,0,1,1,1.0,1.0
Were Primary And Rev,0,1,1,1.0,1.0
"Were Principally Confined To Two Townships, Namely Thabyegan And Taikkyi",0,1,1,1.0,1.0
Were Promoted From Class A To Class B,0,1,1,1.0,1.0
Were Promptly Suppressed,0,1,1,1.0,1.0
Were Properly Attended To By The College Medical Officer,0,1,1,1.0,1.0
Were Protected Against This Disease By The Combined,0,1,1,1.0,1.0
Were Protected By Vaccination Against,0,1,1,1.0,1.0
Were Protected With Serum And Vaccine,0,1,1,1.0,1.0
Were Protected With Spore Vaccine,0,1,1,1.0,1.0
Were Provided For The Patients In All The Hospitals,0,1,1,1.0,1.0
Were Purchased By Native Cavalry,0,1,1,1.0,1.0
Were Purchased By The Commissariat And Transport Department,17,1,1,1.0,1.0
Were Purchased By The Department During The Year,0,1,1,1.0,1.0
Were Purchased For The Peshawar District,0,1,1,1.0,1.0
Were Purchased For The Rearing Depo T,0,1,1,1.0,1.0
Were Purchased From Chakwal,0,1,1,1.0,1.0
Were Purulent,0,1,1,1.0,1.0
Were Put In,5,2,2,1.0,4.0
Were Quite Up To The Standard Of Former Years,0,1,1,1.0,1.0
Were Rampart In This District All The Autumn,0,1,1,1.0,1.0
Were Rare Except During The Height Of The Epidemic,0,1,1,1.0,1.0
Were Rather Late In Appearing,21,1,1,1.0,1.0
Were Re-admitted,3,1,1,1.0,2.0
Were Re-vaccinated In Karachi Town At A Cost Of Rs. Against,0,1,1,1.0,1.0
Were Readmitted,0,1,1,1.0,1.0
Were Really Syphilitic Affections That Had Been Injudiciously Treated With Mercury By,0,1,1,1.0,
Were Received And Dealt With,0,1,1,1.0,1.0
"Were Received During The Year But Could Not Be Complied With, Except",0,1,1,1.0,1.0
Were Received From,3,4,7,0.571429,12.0
Were Received From The Kurrachee Collectorate,3,1,1,1.0,1.0
Were Received Into Hospital And Died,0,1,1,1.0,1.0
Were Recognisable,0,1,1,1.0,1.0
"Were Recognised At Siliguri, Bankura, Satkhira And Chuadanga During The Year",0,1,1,1.0,1.0
Were Recognizable In Any Considerable Numbers In The Fresh Materials,0,1,1,1.0,1.0
Were Recovered From Every One Of Them,0,1,1,1.0,1.0
Were Recruited,0,1,1,1.0,1.0
Were Reduced In Numbers,0,1,1,1.0,1.0
"Were Reduced In Numbers, But An Outburst Occurred On",0,1,1,1.0,1.0
Were Registered In This Division Against In ; A Decrease Of,0,1,1,1.0,1.0
Were Regularly And Systematically Issued To,0,1,1,1.0,1.0
Were Rejected,0,1,1,1.0,1.0
Were Rejected And Sold,0,1,1,1.0,1.0
Were Relaxed,0,1,1,1.0,1.0
Were Remanded For One Year,0,2,2,1.0,2.0
Were Remedied As Soon As Possible,0,1,1,1.0,1.0
Were Removed To Jungle,0,1,1,1.0,1.0
Were Removed To The New Rented Buildings,0,2,2,1.0,2.0
